object_id,area_pixels,area_bio_nm2,centroid_y,centroid_x
44,1285.0,32125.0,801.9214007782101,1353.0428015564203
45,2246.0,56150.0,806.5449688334818,1145.2488869100623
46,255.0,6375.0,810.2980392156862,1495.4549019607844
47,1441.0,36025.0,807.1887578070784,964.5988896599583
48,2623.0,65575.0,821.3023255813954,1549.4704536789934
49,549.0,13725.0,826.0145719489982,1222.455373406193
50,1095.0,27375.0,837.9041095890411,977.6219178082192
51,1240.0,31000.0,820.8596774193549,1454.7645161290322
52,811.0,20275.0,840.8039457459926,945.0727496917386
53,5381.0,134525.0,844.2705816762683,1073.7097193830143
54,2269.0,56725.0,849.4878801234024,1203.0273248126928
55,1666.0,41650.0,846.7112845138055,1638.657863145258
56,2266.0,56650.0,863.0732568402472,1126.441306266549
57,361.0,9025.0,860.5983379501386,1543.634349030471
58,1034.0,25850.0,875.1499032882011,937.1112185686653
59,890.0,22250.0,869.0078651685393,1026.332584269663
60,907.0,22675.0,868.0639470782801,985.0363836824697
61,1223.0,30575.0,884.0237121831561,1237.3164349959118
62,363.0,9075.0,869.1597796143251,1275.4325068870523
63,912.0,22800.0,872.3815789473684,1484.4440789473683
64,740.0,18500.0,873.4945945945946,1604.8554054054055
65,785.0,19625.0,877.1464968152866,1537.2751592356688
66,1014.0,25350.0,894.5039447731756,975.8096646942801
67,1415.0,35375.0,898.3166077738516,1036.079858657244
68,2258.0,56450.0,887.7077059344552,1364.028343666962
69,1703.0,42575.0,896.4997064004698,1656.4515560775103
70,3578.0,89450.0,885.3244829513695,1434.7800447177194
71,1850.0,46250.0,894.461081081081,1581.2270270270271
72,446.0,11150.0,905.042600896861,1400.57399103139
73,3327.0,83175.0,915.1385632702134,1169.981364592726
74,975.0,24375.0,926.0297435897436,1010.8594871794871
75,339.0,8475.0,919.4896755162242,1624.7699115044247
76,1034.0,25850.0,924.0502901353965,1287.674081237911
77,2104.0,52600.0,917.6164448669201,1523.796102661597
78,2582.0,64550.0,939.8927188226181,1592.8900077459334
79,1355.0,33875.0,939.5077490774908,1118.8457564575647
80,1451.0,36275.0,948.051688490696,1441.2832529290145
81,2213.0,55325.0,949.9959331224582,1229.7971079981926
82,232.0,5800.0,951.2887931034483,1520.5818965517242
83,846.0,21150.0,946.8735224586288,1349.3085106382978
84,3460.0,86500.0,954.7728323699422,1064.48612716763
85,693.0,17325.0,962.3160173160173,1472.4025974025974
86,292.0,7300.0,973.7945205479452,1573.6609589041095
87,2649.0,66225.0,985.7908644771612,1368.2121555303888
88,1557.0,38925.0,983.805394990366,1276.0256904303146
89,3038.0,75950.0,1007.278801843318,1109.544107965767
90,6058.0,151450.0,1004.2459557609773,1526.7390227797953
92,6691.0,167275.0,1018.559109251233,1202.3122104319234
93,1928.0,48200.0,1010.429979253112,1471.3023858921163
94,2080.0,52000.0,1024.5379807692307,1425.0230769230768
95,3099.0,77475.0,1017.9664407873507,1318.0238786705388
97,1984.0,49600.0,1041.2278225806451,1278.9087701612902
98,998.0,24950.0,1052.8376753507014,1141.0941883767534
100,1114.0,27850.0,1069.294434470377,1410.1526032315978
101,1584.0,39600.0,1075.790404040404,1337.3358585858587
102,2736.0,68400.0,1084.93932748538,1521.5975877192982
103,3412.0,85300.0,1080.9730363423212,1478.5463071512308
104,892.0,22300.0,1080.7141255605382,1436.354260089686
105,4782.0,119550.0,1100.60330405688,1280.3427436219156
106,2118.0,52950.0,1113.2374881964117,1363.5779036827196
107,519.0,12975.0,1117.8766859344894,1203.1271676300578
108,1724.0,43100.0,1117.0284222737819,1431.1003480278423
109,1311.0,32775.0,1121.0495804729214,1396.5408085430968
110,789.0,19725.0,1136.8783269961978,1328.726235741445
111,2079.0,51975.0,1157.2361712361712,1478.5026455026455
112,2426.0,60650.0,1177.219703215169,1441.346248969497
113,2701.0,67525.0,1178.6623472787855,1328.2054794520548
114,507.0,12675.0,1236.9132149901382,1430.250493096647
